,open,high,low,close,adjclose,volume,ticker
2017-06-20,443.6000061035156,444.95001220703125,436.79998779296875,439.8999938964844,427.5073547363281,299387.0,ICICIPRULI.NS
2017-06-21,438.54998779296875,443.8500061035156,437.0,442.0,429.54827880859375,221685.0,ICICIPRULI.NS
2017-06-22,440.6000061035156,449.8999938964844,440.6000061035156,445.1000061035156,432.5609130859375,547435.0,ICICIPRULI.NS
2017-06-23,445.0,446.8999938964844,437.70001220703125,439.95001220703125,427.5559997558594,584947.0,ICICIPRULI.NS
2017-06-27,442.25,446.8999938964844,437.20001220703125,440.0,427.6046142578125,716409.0,ICICIPRULI.NS
2017-06-28,438.25,459.75,435.8500061035156,457.54998779296875,444.6601257324219,808440.0,ICICIPRULI.NS
2017-06-29,458.0,475.79998779296875,457.79998779296875,473.6499938964844,460.3066101074219,2472285.0,ICICIPRULI.NS
2017-06-30,468.3500061035156,484.79998779296875,460.04998779296875,471.6000061035156,458.3143615722656,1951474.0,ICICIPRULI.NS
2017-07-03,469.0,474.8999938964844,466.29998779296875,472.29998779296875,458.9945983886719,584556.0,ICICIPRULI.NS
2017-07-04,476.04998779296875,509.3999938964844,475.0,489.3500061035156,475.5643005371094,3140893.0,ICICIPRULI.NS
2017-07-05,490.95001220703125,501.8500061035156,490.95001220703125,494.45001220703125,480.52069091796875,2395805.0,ICICIPRULI.NS
2017-07-06,496.3999938964844,499.70001220703125,485.6000061035156,489.75,475.9530944824219,1144572.0,ICICIPRULI.NS
2017-07-07,488.70001220703125,489.6000061035156,479.0,482.8500061035156,472.6250305175781,1035870.0,ICICIPRULI.NS
2017-07-10,485.0,488.04998779296875,482.6000061035156,484.20001220703125,473.94647216796875,117903.0,ICICIPRULI.NS
2017-07-11,486.6499938964844,498.70001220703125,485.1000061035156,489.3500061035156,478.9874267578125,984677.0,ICICIPRULI.NS
2017-07-12,490.0,494.5,481.0,487.0,476.6871337890625,1021677.0,ICICIPRULI.NS
2017-07-13,487.3999938964844,493.75,483.20001220703125,486.25,475.95306396484375,1211517.0,ICICIPRULI.NS
2017-07-14,485.70001220703125,487.25,482.0,484.3500061035156,474.0932922363281,309227.0,ICICIPRULI.NS
2017-07-17,485.0,485.8999938964844,471.75,473.20001220703125,463.1794128417969,809231.0,ICICIPRULI.NS
2017-07-18,474.0,492.54998779296875,472.45001220703125,476.20001220703125,466.1158752441406,1645392.0,ICICIPRULI.NS
2017-07-19,478.8500061035156,480.3999938964844,471.1000061035156,474.25,464.2071228027344,540758.0,ICICIPRULI.NS
2017-07-20,474.04998779296875,475.79998779296875,460.25,461.5,451.7271423339844,1206408.0,ICICIPRULI.NS
2017-07-21,461.5,472.79998779296875,460.1000061035156,464.3999938964844,454.5657043457031,1082299.0,ICICIPRULI.NS
2017-07-24,466.45001220703125,474.0,462.79998779296875,468.6000061035156,458.6768493652344,809702.0,ICICIPRULI.NS
2017-07-25,472.25,472.25,464.04998779296875,468.1000061035156,458.1873779296875,847405.0,ICICIPRULI.NS
2017-07-26,472.0,474.79998779296875,448.25,450.3500061035156,440.8133239746094,3301351.0,ICICIPRULI.NS
2017-07-27,454.6000061035156,457.79998779296875,433.1499938964844,439.04998779296875,429.7525329589844,2306141.0,ICICIPRULI.NS
2017-07-28,440.04998779296875,452.8500061035156,437.1499938964844,448.0,438.51300048828125,1425701.0,ICICIPRULI.NS
2017-07-31,452.0,459.8999938964844,449.04998779296875,458.95001220703125,449.2311706542969,880996.0,ICICIPRULI.NS
2017-08-01,458.95001220703125,459.29998779296875,441.6000061035156,443.95001220703125,434.548828125,1109257.0,ICICIPRULI.NS
2017-08-02,449.0,449.0,440.0,443.5,434.10833740234375,1083062.0,ICICIPRULI.NS
2017-08-03,442.20001220703125,445.0,439.29998779296875,441.04998779296875,431.7101745605469,538981.0,ICICIPRULI.NS
2017-08-04,442.25,447.5,435.25,438.8999938964844,429.60577392578125,1361548.0,ICICIPRULI.NS
2017-08-07,439.25,442.29998779296875,436.0,437.3999938964844,428.13751220703125,474686.0,ICICIPRULI.NS
2017-08-08,437.6000061035156,439.1499938964844,426.29998779296875,433.6499938964844,424.4669189453125,975484.0,ICICIPRULI.NS
2017-08-09,431.20001220703125,432.0,423.3999938964844,425.75,416.7342224121094,596726.0,ICICIPRULI.NS
2017-08-10,425.29998779296875,429.0,411.25,413.79998779296875,405.0372619628906,934151.0,ICICIPRULI.NS
2017-08-11,410.0,430.0,401.8999938964844,427.3500061035156,418.30035400390625,1566785.0,ICICIPRULI.NS
2017-08-14,432.20001220703125,442.75,429.5,433.04998779296875,423.879638671875,944543.0,ICICIPRULI.NS
2017-08-16,437.0,438.54998779296875,430.3999938964844,434.8500061035156,425.64154052734375,527448.0,ICICIPRULI.NS
2017-08-17,442.0,443.0,424.0,425.25,416.24481201171875,909768.0,ICICIPRULI.NS
2017-08-18,422.79998779296875,429.0,420.1499938964844,427.25,418.202392578125,508891.0,ICICIPRULI.NS
2017-08-21,427.5,439.0,419.0,420.1499938964844,411.2528381347656,1023989.0,ICICIPRULI.NS
2017-08-22,423.70001220703125,424.8500061035156,417.6000061035156,418.95001220703125,410.0782470703125,514506.0,ICICIPRULI.NS
2017-08-23,421.04998779296875,424.0,419.54998779296875,422.1499938964844,413.2104797363281,386270.0,ICICIPRULI.NS
